tempo_s,bpm
465.00,80.57
466.00,80.57
470.00,80.57
471.00,80.57
472.00,80.57
473.00,80.57
474.00,80.57
475.00,80.57
476.00,80.57
477.00,80.57
478.00,80.57
479.00,80.57
480.00,80.57
481.00,87.89
482.00,87.89
483.00,87.89
484.00,95.21
485.00,95.21
486.00,87.89
487.00,80.57
491.00,80.57
