tempo_s,bpm_ecg
1.32,89.29
1.98,91.74
2.62,92.88
3.28,90.63
3.99,85.23
4.74,79.58
5.47,82.64
6.22,80.21
6.99,77.72
7.75,79.16
8.49,81.08
9.24,79.16
9.98,81.97
10.73,79.16
11.45,83.80
12.15,85.23
12.86,84.51
13.60,81.52
14.30,85.96
15.03,82.19
15.78,79.58
16.54,79.16
17.25,84.75
17.95,85.71
18.67,83.10
19.40,81.97
20.09,87.21
20.77,88.24
21.44,89.29
22.14,86.21
22.91,78.12
23.68,77.72
24.40,83.57
25.11,84.03
25.83,83.80
26.53,84.99
27.21,88.24
27.90,87.46
28.60,85.71
29.32,82.64
30.02,86.71
30.72,84.99
31.40,87.98
32.10,86.46
32.82,82.87
33.57,80.00
34.33,79.16
35.06,82.42
35.76,85.71
36.45,86.71
37.14,86.46
37.85,85.23
38.57,82.87
39.27,85.47
39.97,86.46
40.69,82.64
41.44,80.43
42.14,85.71
42.85,84.75
43.56,84.03
44.25,87.21
44.92,89.29
45.59,90.09
46.29,85.96
46.97,87.98
47.67,84.99
48.39,84.27
49.11,82.87
49.83,82.87
50.53,85.71
51.25,83.80
51.93,88.50
52.61,88.24
53.31,85.71
54.00,86.21
54.69,87.72
55.39,85.71
56.12,81.74
56.83,84.75
57.53,85.23
58.28,80.86
59.04,78.53
59.73,86.71
60.43,86.21
61.12,87.21
61.80,87.72
62.46,91.46
63.11,91.19
63.76,93.17
64.39,94.34
65.02,96.15
65.67,92.02
66.34,89.02
67.03,87.46
67.79,79.37
68.58,75.95
69.39,74.07
70.20,73.53
70.96,78.95
71.63,89.55
72.27,93.46
72.92,93.17
73.64,83.57
74.39,80.00
75.20,73.35
76.05,70.59
76.82,78.53
77.60,76.53
78.43,72.82
79.25,72.99
80.06,73.71
80.83,77.92
81.59,79.37
82.35,78.74
83.10,80.21
83.82,83.33
84.54,83.10
85.25,84.27
85.92,90.36
86.56,92.88
87.21,93.17
87.85,92.59
88.53,89.02
89.19,90.91
89.90,84.51
90.68,76.73
91.38,85.71
92.18,75.19
92.93,80.21
93.60,88.50
94.34,81.97
95.06,83.33
95.76,84.99
96.45,87.46
97.13,88.24
97.77,93.17
98.41,94.34
99.02,98.04
99.63,98.68
100.23,100.33
100.84,97.09
101.51,90.63
102.15,93.17
102.78,95.85
103.40,96.15
104.04,93.17
104.72,88.50
105.43,84.51
106.08,92.59
106.72,93.75
107.39,89.02
108.10,85.23
108.86,78.74
109.61,80.00
110.32,84.03
111.03,84.99
111.72,87.46
112.39,89.02
113.04,92.02
113.72,88.50
114.40,87.72
115.17,78.53
115.93,78.74
116.66,81.74
117.43,78.53
118.09,91.19
118.76,88.76
119.46,86.46
120.18,83.10
120.84,90.09
121.50,92.02
122.16,90.91
122.83,89.02
123.48,91.74
124.14,92.02
124.81,88.76
125.54,81.97
126.24,86.46
126.92,88.24
127.62,85.71
128.38,78.33
129.10,84.03
129.78,88.24
130.45,88.76
131.12,90.09
131.78,91.19
132.42,93.46
133.05,95.54
133.70,92.02
134.39,86.71
135.07,87.98
135.78,84.51
136.53,80.21
137.28,80.43
138.04,78.74
138.81,78.33
139.54,81.74
140.23,87.46
140.91,87.46
141.61,85.47
142.32,84.51
143.03,84.99
143.73,85.23
144.42,86.96
145.15,82.19
145.92,78.74
146.72,74.81
147.44,83.33
148.15,83.80
148.88,83.10
149.64,78.33
150.39,80.21
151.08,86.46
151.77,87.98
152.46,86.21
153.17,84.27
153.91,81.30
154.61,86.21
155.30,86.46
156.00,85.47
156.72,84.03
157.42,84.99
158.14,83.33
158.83,87.98
159.51,88.24
160.21,84.99
160.95,80.86
161.66,84.75
162.37,84.99
163.10,82.42
163.85,79.58
164.54,86.71
