tempo_s,bpm_ecg
261.31,99.01
261.90,102.04
262.47,104.17
263.07,99.67
263.68,98.68
264.30,96.77
264.92,96.46
265.53,98.68
266.15,97.72
266.75,100.00
267.36,98.36
267.96,99.01
268.55,102.74
269.17,96.46
269.83,90.09
270.45,97.09
271.08,95.85
271.74,90.63
272.41,89.55
273.03,97.40
273.62,100.33
274.22,101.35
274.83,97.09
275.44,98.36
276.02,104.90
276.60,103.45
277.20,100.00
277.78,103.45
278.39,98.36
279.05,90.36
279.76,84.99
280.47,83.80
281.18,84.99
281.86,88.50
282.50,93.46
283.11,97.72
283.72,99.34
284.29,104.17
284.87,103.81
285.49,96.77
286.21,82.87
286.91,86.46
287.58,89.29
288.31,81.74
289.08,78.12
289.80,84.03
290.50,84.75
291.25,80.86
291.97,83.33
292.63,90.36
293.25,96.46
293.86,98.04
294.49,96.15
295.12,95.54
295.76,93.46
296.42,90.91
297.07,92.59
297.69,96.15
298.36,89.82
299.04,87.98
299.70,90.36
300.34,94.94
301.00,89.82
301.67,89.55
302.31,94.04
302.94,95.54
303.58,93.46
304.26,88.50
304.88,96.77
305.51,95.85
306.16,91.46
306.83,89.82
307.47,93.75
308.15,88.50
308.83,87.98
309.49,91.19
310.11,96.15
310.75,93.46
311.40,92.31
312.02,97.09
312.64,97.72
313.29,92.02
313.91,96.46
314.53,96.15
315.18,93.17
315.83,91.74
316.45,97.09
317.05,100.00
317.67,96.77
318.31,93.46
318.96,92.59
319.57,98.04
320.20,95.24
320.86,91.46
321.51,91.74
322.13,97.72
322.76,94.34
323.42,90.91
324.05,96.15
324.65,100.00
325.26,98.36
325.89,95.24
326.49,99.01
327.08,101.69
327.69,99.34
328.30,98.04
328.90,100.33
329.47,103.81
330.08,98.68
330.71,95.85
331.32,98.04
331.91,101.35
332.54,96.15
333.19,91.46
333.82,94.94
334.43,99.34
335.07,94.04
335.71,93.17
336.34,95.85
336.92,102.74
337.50,103.45
338.08,102.74
338.70,96.77
339.32,97.40
339.91,102.39
340.50,100.33
341.11,98.36
341.71,101.01
342.31,100.33
342.96,91.46
343.63,89.82
344.26,95.54
344.87,97.72
345.49,96.46
346.11,97.40
346.69,103.81
347.28,102.04
347.89,98.36
348.53,92.88
349.18,93.17
349.79,98.04
350.42,94.34
351.06,94.94
351.68,96.77
352.32,93.17
352.98,91.19
353.60,96.77
354.21,98.04
354.84,94.64
355.50,91.46
356.12,97.40
356.73,98.36
357.36,95.24
358.01,91.19
358.68,90.09
359.31,95.54
359.91,99.67
360.54,95.85
361.18,93.17
361.85,89.55
362.48,94.94
363.11,95.85
363.76,92.59
364.41,92.31
365.04,95.24
365.62,102.04
366.20,104.53
366.82,96.15
367.54,83.33
368.26,83.33
368.98,83.33
369.69,84.51
370.34,92.02
370.99,92.88
371.63,93.17
372.30,89.55
372.96,92.02
373.60,93.46
374.25,92.02
374.87,96.46
375.48,99.34
376.11,94.04
376.75,93.75
377.36,99.01
377.95,102.04
378.56,98.36
379.18,97.09
379.82,92.88
380.47,92.88
381.12,92.02
381.73,98.68
382.34,98.36
382.99,92.59
383.66,88.50
384.33,89.82
385.05,83.80
385.80,80.21
386.54,81.08
387.24,85.47
387.95,84.27
388.68,82.42
389.40,82.87
390.08,88.76
390.77,86.96
391.46,86.46
392.13,90.09
392.78,92.31
393.43,91.74
394.09,91.19
394.73,94.34
395.37,92.88
396.03,90.91
396.65,97.40
397.26,98.36
397.89,95.54
398.52,94.34
399.15,95.54
399.76,98.04
400.38,97.09
401.00,96.77
401.59,101.01
402.17,103.81
402.77,99.67
403.42,93.46
404.10,87.21
404.75,92.59
405.40,93.17
406.05,92.31
406.70,91.74
407.35,92.59
407.96,98.04
408.56,100.00
409.16,99.34
409.78,97.40
410.38,100.00
411.01,94.64
411.70,87.21
412.35,92.02
413.00,92.88
413.68,88.76
414.35,89.02
415.02,89.82
415.67,92.02
416.28,97.72
416.88,100.00
417.50,97.09
418.10,100.33
418.69,101.01
419.27,103.45
419.86,102.04
420.49,94.94
421.16,89.55
421.83,89.55
422.47,94.04
423.12,92.31
423.78,91.19
424.41,95.85
424.99,102.04
425.57,103.45
426.15,104.17
426.72,105.26
427.30,103.45
427.91,98.68
428.58,89.29
429.21,95.85
429.85,92.88
430.55,85.96
431.25,85.23
431.89,94.04
432.55,91.19
433.21,90.36
433.88,90.63
434.50,96.77
435.14,93.17
435.81,89.02
436.47,91.74
437.10,94.94
437.77,90.09
438.46,86.46
439.11,92.02
439.75,94.34
440.39,92.88
441.05,91.74
441.67,96.77
442.32,92.31
443.00,87.46
443.68,88.24
444.36,89.02
445.01,92.02
445.63,96.77
446.25,96.77
446.89,93.46
447.55,91.19
448.18,94.64
448.80,97.72
449.45,92.59
450.10,91.46
450.76,91.74
451.42,90.09
452.06,93.46
452.71,92.88
453.38,89.02
454.07,87.98
454.74,89.55
455.37,94.64
456.01,93.17
456.66,92.88
457.31,92.31
457.92,98.04
458.53,98.04
459.16,95.85
459.81,92.59
460.42,98.68
461.05,94.64
461.72,90.09
462.37,92.31
462.98,98.04
463.61,95.24
464.25,93.17
464.90,92.59
465.52,96.46
466.15,94.94
466.81,91.19
467.48,89.55
468.11,95.54
468.75,94.34
469.39,93.46
470.04,91.46
470.66,97.40
471.28,97.40
471.91,94.04
472.57,90.91
473.23,92.02
473.91,87.72
474.60,86.96
475.26,91.19
475.94,87.98
