tempo_s,bpm_ecg
314.61,72.99
315.46,70.92
316.29,71.60
317.09,75.57
317.88,75.95
318.66,76.73
319.38,82.87
320.13,80.00
320.90,78.74
321.67,77.52
322.44,78.33
323.25,74.07
324.10,70.26
324.94,71.77
325.78,71.09
326.64,69.61
327.47,72.12
328.27,75.57
329.07,75.19
329.87,74.44
330.71,71.77
331.55,71.60
332.31,78.33
333.05,81.30
333.76,84.99
334.43,88.50
335.13,86.21
335.91,77.12
336.73,73.35
337.50,77.92
338.27,77.52
339.04,77.92
339.82,76.92
340.60,77.12
341.37,77.92
342.15,76.73
342.95,75.38
343.72,77.32
344.56,71.77
345.39,72.12
346.24,70.75
347.04,74.44
347.88,71.77
348.72,71.26
349.54,73.35
350.38,71.77
351.21,71.94
352.02,73.71
352.83,74.26
353.63,75.57
354.38,79.58
355.14,78.74
355.89,80.65
356.70,73.71
357.56,69.44
358.43,69.44
359.29,69.77
360.19,66.37
361.12,64.94
361.98,69.61
362.89,66.08
363.76,68.34
364.56,75.76
365.35,75.57
366.16,74.44
366.99,71.60
367.77,77.12
368.60,72.12
369.47,69.12
370.38,66.08
371.28,66.67
372.11,72.64
372.96,70.42
373.84,68.34
374.74,66.37
375.58,71.43
376.42,71.60
377.27,70.59
378.14,68.65
379.02,68.18
379.86,71.43
380.67,74.63
381.46,75.57
382.28,73.35
383.15,68.65
384.04,67.72
384.91,68.81
385.71,74.63
386.52,74.63
387.34,72.99
388.17,71.94
389.05,68.18
389.94,67.72
390.83,67.26
391.73,66.52
392.56,72.99
393.40,71.43
394.23,72.29
395.03,74.63
395.78,80.21
396.46,87.46
397.18,83.33
397.91,82.64
398.65,81.08
399.40,80.00
400.14,81.08
400.87,82.64
401.57,84.99
402.27,86.21
402.95,87.72
403.62,90.36
404.30,87.98
405.02,82.87
405.81,76.34
406.61,75.00
407.41,74.63
408.17,78.95
408.92,80.21
409.68,79.37
410.43,79.37
411.17,81.74
411.92,79.79
412.68,78.33
413.44,79.16
414.16,83.33
414.88,83.57
415.60,83.57
416.31,83.80
