tempo_s,bpm
0.00,94.64
1.00,144.93
5.00,144.93
6.00,119.05
7.00,119.05
8.00,119.05
10.00,116.68
11.00,116.68
19.00,115.53
22.00,141.51
23.00,141.51
24.00,141.51
25.00,141.84
26.00,141.51
27.00,141.84
28.00,141.51
29.00,141.84
30.00,141.84
31.00,120.92
32.00,141.51
33.00,141.51
34.00,141.51
35.00,115.80
36.00,89.69
37.00,89.69
38.00,89.69
42.00,89.29
43.00,89.29
44.00,114.53
45.00,143.54
46.00,144.23
47.00,144.23
48.00,144.23
49.00,138.25
50.00,141.24
51.00,144.93
52.00,144.23
54.00,87.21
55.00,113.63
56.00,87.72
57.00,139.53
58.00,89.29
59.00,135.75
60.00,135.75
61.00,136.99
62.00,89.29
63.00,89.29
64.00,89.29
65.00,139.53
66.00,139.53
67.00,122.21
68.00,104.90
69.00,139.53
70.00,122.21
71.00,122.21
72.00,122.21
73.00,134.53
74.00,134.53
75.00,138.25
76.00,140.52
77.00,182.70
78.00,182.70
79.00,136.99
80.00,136.67
81.00,136.36
82.00,136.06
83.00,134.54
84.00,135.75
85.00,133.04
86.00,116.55
87.00,89.55
88.00,133.04
89.00,133.04
90.00,133.04
91.00,133.33
92.00,133.04
93.00,135.79
94.00,134.23
95.00,135.14
96.00,134.53
97.00,140.19
98.00,140.19
99.00,141.18
100.00,142.86
101.00,142.86
102.00,142.86
103.00,136.99
104.00,137.76
105.00,137.76
106.00,133.33
107.00,133.04
108.00,133.33
109.00,133.33
110.00,133.33
111.00,133.04
112.00,133.04
113.00,133.33
114.00,133.33
115.00,133.33
116.00,133.33
117.00,133.33
118.00,135.16
119.00,136.99
120.00,135.16
121.00,136.99
122.00,136.99
123.00,133.93
124.00,135.46
125.00,135.46
126.00,133.93
127.00,132.74
128.00,133.93
129.00,139.53
130.00,139.53
131.00,139.53
132.00,138.57
133.00,136.99
134.00,136.99
135.00,136.67
136.00,136.36
137.00,135.75
138.00,135.75
139.00,96.35
140.00,96.35
141.00,135.75
142.00,134.53
143.00,90.92
144.00,115.66
145.00,89.82
146.00,107.91
147.00,139.53
148.00,141.51
149.00,140.52
150.00,140.52
151.00,140.52
152.00,139.53
153.00,143.30
154.00,143.62
155.00,139.86
156.00,139.53
157.00,140.19
158.00,140.19
159.00,140.19
160.00,140.19
161.00,139.86
162.00,142.86
163.00,143.20
164.00,141.54
165.00,140.19
166.00,141.52
167.00,142.86
168.00,140.19
169.00,141.52
170.00,139.53
171.00,139.21
172.00,138.89
173.00,136.36
174.00,136.06
175.00,136.06
176.00,138.25
177.00,138.25
178.00,138.25
179.00,138.89
180.00,139.53
181.00,141.54
182.00,142.53
183.00,142.53
184.00,140.20
185.00,137.01
186.00,138.89
187.00,138.89
188.00,137.01
189.00,138.32
190.00,135.75
191.00,135.75
192.00,141.40
193.00,147.06
194.00,143.95
195.00,143.95
196.00,143.95
197.00,141.85
198.00,136.67
199.00,136.67
200.00,138.28
201.00,138.28
202.00,138.28
203.00,142.18
204.00,147.06
205.00,147.06
206.00,144.28
207.00,147.06
208.00,148.53
209.00,142.21
210.00,142.21
211.00,137.64
212.00,137.61
213.00,137.93
214.00,133.93
215.00,135.77
216.00,133.93
217.00,133.93
218.00,137.61
219.00,94.81
220.00,94.81
221.00,96.15
222.00,118.50
223.00,118.50
224.00,118.50
225.00,136.07
226.00,134.53
227.00,140.85
228.00,140.85
229.00,114.44
230.00,117.24
231.00,117.24
232.00,92.31
233.00,92.03
234.00,92.31
235.00,92.31
236.00,116.91
237.00,118.22
238.00,118.22
239.00,118.22
240.00,93.34
241.00,94.94
242.00,94.94
243.00,94.94
244.00,136.36
245.00,136.36
246.00,114.21
247.00,140.19
248.00,140.19
249.00,140.19
250.00,140.19
251.00,140.19
252.00,140.19
253.00,115.97
254.00,115.97
255.00,115.97
256.00,116.96
257.00,91.74
258.00,91.74
259.00,91.74
260.00,135.75
261.00,138.92
262.00,138.26
263.00,140.85
264.00,140.85
265.00,143.54
266.00,143.20
267.00,143.20
268.00,143.89
269.00,143.20
270.00,143.54
271.00,140.55
272.00,138.25
273.00,137.31
274.00,144.23
275.00,123.49
276.00,116.49
277.00,144.23
278.00,139.99
279.00,139.99
280.00,136.99
281.00,132.74
282.00,134.55
283.00,115.27
284.00,140.19
285.00,142.18
286.00,142.18
287.00,142.18
288.00,141.18
289.00,135.14
290.00,134.83
291.00,134.53
292.00,134.53
293.00,134.53
294.00,137.34
295.00,137.34
296.00,137.34
297.00,137.34
298.00,137.34
299.00,135.75
300.00,142.50
301.00,143.25
302.00,137.94
303.00,144.82
304.00,142.18
305.00,142.18
306.00,145.72
307.00,142.18
308.00,142.18
309.00,141.18
310.00,142.18
311.00,142.18
312.00,140.85
313.00,140.85
314.00,140.85
315.00,143.93
316.00,141.51
317.00,141.51
318.00,141.51
319.00,144.23
320.00,144.23
321.00,141.88
322.00,141.88
323.00,138.25
324.00,138.89
325.00,139.53
326.00,136.99
327.00,136.67
328.00,133.93
329.00,133.93
330.00,134.53
331.00,134.53
332.00,133.33
333.00,133.33
334.00,133.93
335.00,136.43
336.00,136.36
337.00,135.75
338.00,135.14
339.00,136.36
340.00,136.36
341.00,136.36
342.00,136.36
343.00,139.95
344.00,148.88
345.00,152.75
346.00,156.25
347.00,148.88
348.00,148.88
349.00,150.40
350.00,147.07
351.00,145.63
352.00,144.93
353.00,140.85
354.00,138.26
355.00,139.53
356.00,138.89
357.00,138.25
358.00,137.62
359.00,136.99
360.00,140.52
361.00,144.23
362.00,140.85
363.00,140.85
364.00,144.23
365.00,144.23
366.00,144.23
367.00,141.51
368.00,139.56
369.00,139.56
370.00,138.89
371.00,136.67
372.00,144.23
373.00,143.20
374.00,143.54
375.00,143.20
376.00,142.86
377.00,142.86
378.00,143.20
379.00,142.86
380.00,141.86
381.00,142.21
382.00,140.19
383.00,135.75
384.00,136.06
385.00,116.11
386.00,117.44
387.00,117.44
388.00,140.19
389.00,140.85
390.00,140.52
391.00,140.52
392.00,140.19
393.00,140.85
394.00,140.85
395.00,94.04
