tempo_s,bpm
0.00,179.11
1.00,187.50
2.00,187.50
3.00,189.29
4.00,187.50
5.00,186.92
6.00,189.29
7.00,186.92
8.00,187.50
9.00,186.92
10.00,186.92
11.00,191.08
12.00,192.32
13.00,192.32
14.00,188.71
15.00,186.34
16.00,186.34
17.00,186.34
18.00,184.08
19.00,186.34
20.00,186.34
21.00,191.09
22.00,192.31
23.00,197.37
24.00,197.37
25.00,197.37
26.00,197.37
27.00,197.37
28.00,197.37
29.00,200.73
30.00,194.63
31.00,202.89
32.00,202.89
33.00,202.08
34.00,202.08
35.00,185.19
36.00,202.08
37.00,218.98
38.00,185.25
39.00,188.68
40.00,188.68
41.00,188.68
42.00,188.68
43.00,188.68
44.00,189.88
45.00,189.88
46.00,192.31
47.00,194.19
48.00,194.19
49.00,194.19
50.00,194.19
51.00,194.19
52.00,194.19
53.00,194.19
54.00,204.43
55.00,209.44
56.00,209.44
57.00,213.98
58.00,213.98
59.00,213.98
60.00,189.87
61.00,189.87
66.00,178.57
67.00,204.67
68.00,196.08
69.00,196.08
70.00,196.08
71.00,196.08
72.00,196.08
73.00,196.08
74.00,196.08
75.00,196.08
76.00,186.34
77.00,186.34
78.00,186.34
79.00,186.34
80.00,186.34
81.00,189.32
82.00,189.94
83.00,189.94
84.00,187.68
85.00,195.10
86.00,188.09
87.00,187.50
88.00,188.09
89.00,187.50
90.00,186.34
91.00,186.34
92.00,184.08
93.00,178.57
94.00,169.08
95.00,174.42
96.00,172.91
97.00,174.42
98.00,176.47
99.00,180.26
100.00,184.05
101.00,175.44
102.00,173.91
103.00,174.94
104.00,196.09
105.00,202.02
106.00,202.02
107.00,202.70
108.00,206.99
109.00,206.99
110.00,206.99
111.00,202.70
112.00,107.58
113.00,105.26
114.00,189.87
115.00,93.47
116.00,135.41
117.00,101.69
118.00,102.22
119.00,102.22
120.00,188.18
121.00,196.15
122.00,192.02
123.00,200.00
124.00,182.93
125.00,185.19
126.00,184.08
127.00,181.82
128.00,104.90
129.00,142.27
130.00,181.82
131.00,180.72
132.00,181.82
133.00,180.72
134.00,180.72
135.00,180.72
136.00,180.72
137.00,179.64
138.00,184.66
139.00,181.82
140.00,181.82
141.00,183.50
142.00,185.19
143.00,185.19
144.00,186.34
145.00,181.27
146.00,187.50
147.00,188.69
148.00,187.50
149.00,187.50
150.00,188.69
151.00,184.05
152.00,188.18
153.00,192.31
154.00,164.84
155.00,183.63
156.00,181.76
157.00,203.89
158.00,203.89
159.00,106.76
160.00,194.81
161.00,203.89
162.00,203.89
163.00,173.41
164.00,214.29
165.00,192.31
166.00,194.19
167.00,194.19
168.00,203.67
169.00,194.19
170.00,194.19
171.00,192.31
172.00,186.34
173.00,184.05
174.00,171.43
175.00,171.92
176.00,171.43
177.00,176.47
178.00,184.05
179.00,188.18
180.00,193.55
181.00,193.55
182.00,193.55
183.00,193.55
184.00,192.32
185.00,195.46
186.00,192.31
187.00,192.93
188.00,192.31
189.00,192.31
190.00,191.09
191.00,188.10
192.00,188.10
193.00,185.19
194.00,184.05
195.00,172.54
196.00,172.54
197.00,184.06
198.00,184.06
199.00,187.51
200.00,186.34
201.00,187.50
202.00,187.50
203.00,186.34
204.00,187.50
205.00,192.31
206.00,195.49
207.00,186.34
208.00,186.92
209.00,186.92
210.00,187.50
211.00,188.09
212.00,188.09
213.00,190.49
214.00,186.36
215.00,190.49
216.00,189.87
217.00,189.28
218.00,189.87
219.00,186.96
220.00,106.95
221.00,106.76
222.00,106.76
223.00,107.14
224.00,139.78
225.00,173.41
226.00,173.41
227.00,180.72
228.00,185.19
229.00,140.09
230.00,187.53
231.00,185.19
232.00,184.06
233.00,171.43
234.00,178.57
235.00,109.96
236.00,115.38
237.00,181.82
238.00,179.65
239.00,184.05
240.00,185.19
241.00,177.01
242.00,177.01
243.00,177.01
244.00,181.82
245.00,181.82
246.00,183.50
247.00,180.73
248.00,175.49
249.00,182.41
250.00,179.64
251.00,109.49
252.00,179.64
253.00,179.64
254.00,182.99
255.00,182.99
256.00,186.34
257.00,186.34
258.00,190.57
259.00,190.57
260.00,188.68
261.00,147.78
262.00,195.54
263.00,195.54
264.00,188.68
265.00,200.73
266.00,194.23
267.00,197.37
268.00,102.74
269.00,102.74
270.00,102.74
271.00,104.53
272.00,104.53
273.00,102.94
274.00,107.93
275.00,108.70
276.00,109.09
277.00,109.09
278.00,106.76
279.00,106.38
280.00,106.76
281.00,108.89
282.00,111.73
283.00,126.72
284.00,175.44
285.00,185.19
286.00,185.19
287.00,173.41
288.00,186.34
289.00,185.19
290.00,186.34
291.00,187.53
292.00,183.50
293.00,177.12
294.00,91.33
295.00,93.17
296.00,160.00
297.00,160.43
298.00,166.67
299.00,172.44
300.00,170.54
301.00,174.42
302.00,180.19
303.00,180.19
304.00,202.70
305.00,202.70
306.00,103.09
307.00,101.52
308.00,101.52
309.00,101.69
310.00,102.39
311.00,103.09
312.00,162.16
313.00,135.04
314.00,110.29
315.00,169.49
316.00,136.23
317.00,109.09
318.00,110.29
319.00,109.69
320.00,110.29
321.00,108.31
322.00,103.45
323.00,128.76
324.00,146.21
325.00,136.99
326.00,177.61
327.00,155.44
328.00,181.82
329.00,174.44
330.00,185.19
331.00,174.44
332.00,99.17
333.00,97.72
334.00,97.72
335.00,98.53
336.00,97.72
337.00,98.53
338.00,111.94
339.00,111.94
340.00,179.65
341.00,181.82
342.00,180.72
343.00,178.57
344.00,179.65
345.00,141.83
346.00,112.99
347.00,113.21
348.00,112.15
349.00,112.99
350.00,113.21
351.00,131.23
352.00,155.44
353.00,161.05
354.00,172.41
355.00,175.49
356.00,169.54
357.00,175.49
358.00,178.57
359.00,178.57
360.00,141.37
361.00,102.39
362.00,104.17
363.00,142.44
364.00,181.82
365.00,181.82
366.00,142.44
367.00,181.27
368.00,181.27
369.00,186.34
370.00,144.67
371.00,192.31
372.00,183.49
373.00,182.93
374.00,172.03
375.00,175.44
376.00,166.67
377.00,166.67
378.00,175.44
379.00,175.95
380.00,175.44
381.00,171.52
382.00,175.44
383.00,177.03
384.00,181.82
385.00,181.82
386.00,179.64
387.00,174.42
388.00,175.44
389.00,175.44
390.00,174.93
391.00,172.95
392.00,180.75
393.00,180.72
394.00,175.44
395.00,170.45
396.00,170.45
397.00,97.47
398.00,101.55
399.00,105.28
400.00,106.76
401.00,107.73
402.00,178.57
403.00,196.08
404.00,196.08
405.00,196.08
406.00,111.94
407.00,108.97
408.00,194.19
409.00,189.32
410.00,186.34
411.00,111.94
412.00,106.96
413.00,103.09
414.00,103.09
415.00,101.35
416.00,182.93
417.00,107.91
418.00,106.38
419.00,106.38
420.00,109.51
421.00,108.70
422.00,108.70
423.00,107.91
424.00,107.74
425.00,109.49
426.00,179.64
427.00,109.49
428.00,109.49
429.00,109.29
430.00,109.09
431.00,109.49
432.00,108.50
433.00,109.29
434.00,109.49
435.00,111.32
436.00,109.09
437.00,111.11
438.00,111.11
439.00,111.32
440.00,109.51
441.00,111.32
442.00,106.96
443.00,105.26
444.00,104.36
445.00,100.54
446.00,101.07
447.00,101.07
448.00,98.68
449.00,98.68
450.00,103.45
451.00,103.45
452.00,103.45
453.00,139.47
454.00,174.42
455.00,139.66
456.00,139.66
457.00,105.63
458.00,105.26
459.00,143.73
460.00,105.63
461.00,143.18
462.00,105.63
463.00,172.41
464.00,187.57
465.00,184.05
466.00,99.18
467.00,105.09
